alumni_career_titles,alumni_info,awards,contact_email,department,dept_news_links,lab_culture,lab_website,last_updated,linkedin_profiles,mentorship_info,num_alumni,num_students,pi_name,publication_abstracts,publication_dates,publication_links,publications,research_summary,scraped_excerpts,social_media_posts,source_url,title_position
Health Technologist; Program Volunteer,"I. Boateng (MS 2022, WHO); R. Ali (BS 2023, Peace Corps)",NIH R56 (2022); DoD DURIP (2023),kmensah@ncsu.edu,BME,https://bme.ncsu.edu/news/mensah-point-of-care,global health; field-validated; frugal engineering,http://mensah-globalhealth.ncsu.edu,2025-09-05,https://linkedin.com/in/kofi-mensah-bme,Lab code of conduct; monthly skill-shares; cross-lab collaborations encouraged.,10,8,Dr. Kofi Mensah,A low-cost microhematocrit device flagged acute vaso-occlusive crises from a fingerprick.; Dual-antigen paper ELISA distinguished PfHRP2 deletion strains.,2025; 2023,https://doi.org/10.1234/bme.mensah.1; https://doi.org/10.1234/bme.mensah.2,Capillary microhematocrit for sickle crises triage; Paper ELISA for malaria PfHRP2/LDH,Point-of-care diagnostics for malaria and sickle cell disease in resource-constrained settings.,[Research] Malaria and SCD POCT (Source: http://mensah-globalhealth.ncsu.edu/research),https://twitter.com/MensahGlobal/status/10123456,https://www.bme.ncsu.edu/people/kmensah,Associate Professor
Graduate Student; Data Analyst,"G. Patel (BS 2024, UNC BME MS); N. Shah (BS 2023, Epic)",Sloan Research Fellow (2025),lbrooks@ncsu.edu,BME,https://bme.ncsu.edu/news/brooks-als-bci,human-centered; IRB-savvy; reproducible,http://brooks-neurointerfaces.ncsu.edu,2025-09-05,https://linkedin.com/in/lila-brooks-bme,Weekly journal club; transparent feedback rubrics; cohort-based onboarding.,2,6,Dr. Lila Brooks,Ear-EEG achieved attention decoding comparable to scalp EEG in noisy settings.; Probabilistic language models boosted EEG typing accuracy by 20%.,2025; 2024,https://doi.org/10.1234/bme.brooks.1; https://doi.org/10.1234/bme.brooks.2,Auditory attention decoding with ear-EEG; Language model–assisted text entry from EEG,Brain-computer interfaces for communication in ALS; decoding intention from noninvasive signals.,[Research] Noninvasive BCI for communication (Source: http://brooks-neurointerfaces.ncsu.edu/research),https://twitter.com/BrooksBCI/status/12340001,https://www.bme.ncsu.edu/people/lbrooks,Assistant Professor
Senior R&D Engineer; Design Engineer,"R. Diaz (PhD 2018, Zimmer Biomet); P. Singh (MS 2019, Stryker)","NIH R01 (2020); NSF IUCRC (Site PI, 2024)",malvarez@ncsu.edu,BME,https://bme.ncsu.edu/news/alvarez-smart-implants,clinically integrated; device prototyping; QA-heavy,http://alvarez-ortho.ncsu.edu,2025-09-05,https://linkedin.com/in/mateo-alvarez-bme,Industry mentors; design sprints with clinical partners; reproducibility checks.,20,11,Dr. Mateo Alvarez,A hermetic sensor package streamed tibial load during gait.; A sensorized spacer predicted post-op alignment within 2°.,2024; 2022,https://doi.org/10.1234/bme.alvarez.1; https://doi.org/10.1234/bme.alvarez.2,Wireless strain gauges in tibial implants; Smart knee spacer predicts alignment,Orthopedic device innovation and smart implants for load monitoring post-arthroplasty.,[Research] Smart orthopedic implants (Source: http://alvarez-ortho.ncsu.edu/research),https://twitter.com/AlvarezOrtho/status/10098765,https://www.bme.ncsu.edu/people/malvarez,Professor
Medical Student; Process Engineer,"S. Omar (BS 2024, UNC MD); T. Lee (MS 2023, Biogen)",NSF CAREER (2025),nhaddad@ncsu.edu,BME,https://bme.ncsu.edu/news/haddad-gut-on-chip,interdisciplinary; microphysiological systems; rigorous,http://haddad-microbiome-chip.ncsu.edu,2025-09-05,https://linkedin.com/in/noura-haddad-bme,Weekly writing blocks; preprint-first culture; cross-lab code reviews.,3,7,Dr. Noura Haddad,A microfluidic gut model reproduced TNF-α bursts observed clinically.; An anaerobic interface maintained obligate anaerobes adjacent to epithelium.,2025; 2023,https://doi.org/10.1234/bme.haddad.1; https://doi.org/10.1234/bme.haddad.2,Gut-on-chip recapitulates IBD cytokine storms; Anaerobic co-culture preserves microbial diversity,Microbiome–immune interactions in inflammatory bowel disease using organ-on-chip models.,[Research] Organ-on-chip for IBD (Source: http://haddad-microbiome-chip.ncsu.edu/research),https://twitter.com/HaddadMicrobiome/status/12223344,https://www.bme.ncsu.edu/people/nhaddad,Assistant Professor
Public Health Scientist; Chief Technology Officer,"D. Kumar (PhD 2020, CDC); A. Nguyen (MS 2021, Start-up CTO)",NIH R01 (2022); BARDA contract (2024),ohassan@ncsu.edu,BME,https://bme.ncsu.edu/news/hassan-smartphone-dx,field-ready; low-cost; open hardware,http://hassan-rapid-dx.ncsu.edu,2025-09-05,https://linkedin.com/in/omar-hassan-bme,Quarterly IDPs; lab Slack with structured channels; reproducibility badges.,12,10,Dr. Omar Hassan,Shelf-stable LAMP kits retained activity for 6 months at ambient temperature.; A phone-based spectrometer quantified fluorescence with R² = 0.98.,2024; 2023,https://doi.org/10.1234/bme.hassan.1; https://doi.org/10.1234/bme.hassan.2,Lyophilized LAMP kits for field diagnostics; Smartphone spectrometer quantifies viral load,Rapid pathogen detection using isothermal amplification and smartphone optics.,[Research] Isothermal amplification; phone optics (Source: http://hassan-rapid-dx.ncsu.edu/research),https://twitter.com/HassanRapidDx/status/13345001,https://www.bme.ncsu.edu/people/ohassan,Associate Professor
Clinical Imaging Scientist; Postdoctoral Scholar,"K. Patel (PhD 2019, Philips); Y. Wang (PhD 2020, Postdoc UCSF)","NIH R01 (2017, 2022 renewal); Coulter Award (2021)",psrinivasan@ncsu.edu,BME,https://bme.ncsu.edu/news/srinivasan-photoacoustic-stroke,clinically engaged; device translational; IRB-focused,http://srinivasan-neurovasc.ncsu.edu,2025-09-05,https://linkedin.com/in/priya-srinivasan-bme,Grant-writing bootcamps; cross-mentoring with clinicians; flexible schedules.,28,15,Dr. Priya Srinivasan,A handheld system identified large vessel occlusions with AUC 0.91.; Multispectral maps correlated with diffusion-perfusion MRI.,2025; 2023,https://doi.org/10.1234/bme.srinivasan.1; https://doi.org/10.1234/bme.srinivasan.2,Handheld photoacoustic device identifies LVO; Multispectral imaging maps penumbra,Neurovascular imaging and photoacoustic tomography for stroke triage in the ED.,[Research] Photoacoustic tomography for stroke (Source: http://srinivasan-neurovasc.ncsu.edu/research),https://twitter.com/NeurovascLab/status/10444566,https://www.bme.ncsu.edu/people/psrinivasan,Professor
Clinical Research Engineer; MS Student,"M. Rossi (MS 2024, Mayo Clinic); M. Khan (BS 2023, NCSU MS)",NIBIB Trailblazer Award (2024),qblake@ncsu.edu,BME,https://bme.ncsu.edu/news/blake-soft-tissue-models,modeling-focused; validation-driven; collaborative,http://blake-biomech.ncsu.edu,2025-09-05,https://linkedin.com/in/quentin-blake-bme,Pair programming; constructive peer reviews; preprint feedback sessions.,2,5,Dr. Quentin Blake,Patient-specific meshes predicted risk under Valsalva maneuvers.; A Prony-series model captured tissue relaxation over minutes.,2025; 2023,https://doi.org/10.1234/bme.blake.1; https://doi.org/10.1234/bme.blake.2,Subject-specific FE models predict prolapse risk; Nonlinear viscoelasticity in pelvic fascia,Computational biomechanics of soft tissues; finite-element models of pelvic floor disorders.,[Research] FE modeling of soft tissues (Source: http://blake-biomech.ncsu.edu/research),https://twitter.com/BlakeBiomech/status/11677890,https://www.bme.ncsu.edu/people/qblake,Assistant Professor
Imaging Scientist; Research Fellow,"H. Ito (PhD 2021, Canon Medical); P. Adams (MS 2022, NIH)",AHA Transformational Project Award (2024),rsato@ncsu.edu,BME,https://bme.ncsu.edu/news/sato-fibrin-nir,chemistry-meets-imaging; safety; mentorship-forward,http://sato-imaging.ncsu.edu,2025-09-05,https://linkedin.com/in/rina-sato-bme,Clear expectations; data stewardship; inclusive authorship discussions.,9,9,Dr. Rina Sato,A peptide-NIR dye conjugate detected fibrin in vivo with high specificity.; Photoacoustic imaging detected thrombi as small as 1 mm.,2024; 2022,https://doi.org/10.1234/bme.sato.1; https://doi.org/10.1234/bme.sato.2,Fibrin-targeted NIR probe for DVT; Photoacoustic thrombus imaging in mice,Molecular imaging probes for thrombus detection and image-guided therapy.,[Research] Thrombus imaging probes (Source: http://sato-imaging.ncsu.edu/research),https://twitter.com/SatoImaging/status/11833900,https://www.bme.ncsu.edu/people/rsato,Associate Professor
Process Development Scientist; MS Student,"I. Novak (MS 2024, Novo Nordisk); F. Martin (BS 2023, NCSU MS)",NSF CAREER (2025),sdimitriou@ncsu.edu,BME,https://bme.ncsu.edu/news/dimitriou-islet-gels,materials-forward; immunoengineering; careful execution,http://dimitriou-islet-biomaterials.ncsu.edu,2025-09-05,https://linkedin.com/in/sofia-dimitriou-bme,Weekly lab stand-ups; transparent timelines; open-source datasets.,3,6,Dr. Sofia Dimitriou,Charge-neutral hydrogels reduced macrophage adhesion and prolonged graft survival.; Peroxide-generating fillers supported early islet oxygenation.,2025; 2023,https://doi.org/10.1234/bme.dimitriou.1; https://doi.org/10.1234/bme.dimitriou.2,Zwitterionic gels reduce islet rejection; Oxygenating scaffolds improve engraftment,Biomaterials for islet transplantation; immune-evasive hydrogels for T1D.,[Research] Immune-evasive hydrogels for T1D (Source: http://dimitriou-islet-biomaterials.ncsu.edu/research),https://twitter.com/IsletMaterials/status/11900987,https://www.bme.ncsu.edu/people/sdimitriou,Assistant Professor
Clinical Robotics Engineer; Clinical Research Specialist,"E. James (PhD 2020, ReWalk); S. Park (MS 2021, VA Hospital)","NSF CCC-PIRE (Co-PI, 2022)",trahman@ncsu.edu,BME,https://bme.ncsu.edu/news/rahman-exosuit,patient-first; iterative prototyping; IRB-aware,http://rahman-rehab-robotics.ncsu.edu,2025-09-05,https://linkedin.com/in/tariq-rahman-bme,Human-centered design; co-advised clinical projects; inclusive co-authorship.,12,10,Dr. Tariq Rahman,A textile-based suit improved shoulder abduction by 18% in stroke survivors.; An adaptive controller reduced gait asymmetry on a split-belt treadmill.,2024; 2022,https://doi.org/10.1234/bme.rahman.1; https://doi.org/10.1234/bme.rahman.2,Soft shoulder exosuit improves reach; Adaptive control for asymmetric gait,Rehabilitation robotics and assistive exosuits for stroke and spinal cord injury.,[Research] Assistive exosuits; adaptive control (Source: http://rahman-rehab-robotics.ncsu.edu/research),https://twitter.com/RahmanRehab/status/13004567,https://www.bme.ncsu.edu/people/trahman,Associate Professor
Optical Systems Engineer; Postdoctoral Fellow,"P. Rao (PhD 2018, Olympus); M. Chen (PhD 2019, Postdoc Harvard)",NIH R01 (2016; 2021 renewal),udesai@ncsu.edu,BME,https://bme.ncsu.edu/news/desai-raman-endoscopy,optics-heavy; clinical partners; translation-oriented,http://desai-biophotonics.ncsu.edu,2025-09-05,https://linkedin.com/in/uma-desai-bme,Structured rotations; writing retreats; grant shadowing.,25,12,Dr. Uma Desai,A fiber Raman system identified dysplastic lesions in Barrett’s esophagus.; Combined OCT/FLIM guided margin assessment in resection specimens.,2025; 2023,https://doi.org/10.1234/bme.desai.1; https://doi.org/10.1234/bme.desai.2,Raman endoscopy identifies dysplasia; Multimodal OCT/FLIM improves margins,Biophotonics for minimally invasive cancer diagnostics; multimodal endoscopy.,[Research] Biophotonics; multimodal endoscopy (Source: http://desai-biophotonics.ncsu.edu/research),https://twitter.com/DesaiPhotonics/status/13112233,https://www.bme.ncsu.edu/people/udesai,Professor
MS Student; Systems Engineer,"D. Lin (BS 2024, NCSU MS); F. Silva (MS 2023, Abbott)","AHA SFRN (co-I, 2024)",vhuang@ncsu.edu,BME,https://bme.ncsu.edu/news/huang-hemodynamic-sensors,device physics; reliability testing; systems thinking,http://huang-cardiosensors.ncsu.edu,2025-09-05,https://linkedin.com/in/victor-huang-bme,Design docs; replication tasks; quarterly external advisory board reviews.,2,6,Dr. Victor Huang,A flexible magnetoelastic sensor correlated with catheter pressures in vivo.; Ultrasonic links delivered 50 mW across 3 cm tissue in a benchtop model.,2025; 2023,https://doi.org/10.1234/bme.huang.1; https://doi.org/10.1234/bme.huang.2,Magnetoelastic sensors track pulmonary pressure; Ultrasonic power links for implants,Implantable hemodynamic sensors and batteryless telemetry for heart failure management.,[Research] Hemodynamic implants; power links (Source: http://huang-cardiosensors.ncsu.edu/research),https://twitter.com/HuangCardio/status/13999121,https://www.bme.ncsu.edu/people/vhuang,Assistant Professor
Senior Scientist; Materials Engineer,"Y. Kim (PhD 2021, BMS); T. Patel (MS 2022, Formlabs)","NIH R01 (2020); NSF IUCRC (co-PI, 2024)",wzhao@ncsu.edu,BME,https://bme.ncsu.edu/news/zhao-volumetric-bioprinting,maker mindset; cell–material integration; quality-by-design,http://zhao-biofab.ncsu.edu,2025-09-05,https://linkedin.com/in/wendy-zhao-bme,Weekly data checks; prereg protocols; shared lab calendar.,15,11,Dr. Wendy Zhao,Holographic printing created centimeter-scale perfusable networks.; A PEG-norbornene gel balanced cure speed and cell viability.,2025; 2023,https://doi.org/10.1234/bme.zhao.1; https://doi.org/10.1234/bme.zhao.2,Volumetric printing of perfusable tissues; Photocurable gels with cell-friendly kinetics,Biofabrication and volumetric 3D bioprinting for vascularized tissue constructs.,[Research] Volumetric bioprinting; perfusable tissues (Source: http://zhao-biofab.ncsu.edu/research),https://twitter.com/ZhaoBiofab/status/12111444,https://www.bme.ncsu.edu/people/wzhao,Associate Professor
MS Student,"A. Gomez (BS 2024, NCSU MS)",NSF CAREER (2025),xkim@ncsu.edu,BME,https://bme.ncsu.edu/news/kim-microrobots,precision; safety; iterative prototyping,http://kim-microrobotics.ncsu.edu,2025-09-05,https://linkedin.com/in/xavier-kim-bme,Lab engineering notebooks; reproducible code; open lab meetings.,1,5,Dr. Xavier Kim,Helical microrobots navigated collagen-dense matrices under MRI fields.; Nanoswimmers released drug payloads in response to tumor enzymes.,2025; 2023,https://doi.org/10.1234/bme.xkim.1; https://doi.org/10.1234/bme.xkim.2,Magnetically steered microrobots penetrate stroma; Enzyme-propelled nanoswimmers deliver doxorubicin,Micro- and nanorobots for targeted drug delivery in solid tumors.,[Research] Micro/nanorobotics for drug delivery (Source: http://kim-microrobotics.ncsu.edu/research),https://twitter.com/KimMicros/status/12770023,https://www.bme.ncsu.edu/people/xkim,Assistant Professor
Clinical Engineer; Medical Student,"R. Patel (MS 2023, Philips); S. Young (BS 2022, UNC Med)",NIH R21 (2024),yelsayed@ncsu.edu,BME,https://bme.ncsu.edu/news/elsayed-nicu-monitoring,human factors; safety; co-design,http://elsayed-peds-devices.ncsu.edu,2025-09-05,https://linkedin.com/in/yara-elsayed-bme,Weekly design reviews; clinical shadowing; project charters.,9,8,Dr. Yara El-Sayed,A gentle adhesive and red/NIR combo enabled stable neonatal SpO2 sensing.; A mm-wave radar tracked respiration without leads.,2025; 2023,https://doi.org/10.1234/bme.elsayed.1; https://doi.org/10.1234/bme.elsayed.2,Skin-safe optical SpO2 for neonates; Noncontact respiration monitoring,Pediatric medical devices; noninvasive monitoring for NICU care.,[Research] Pediatric monitoring devices (Source: http://elsayed-peds-devices.ncsu.edu/research),https://twitter.com/ElSayedPeds/status/12888761,https://www.bme.ncsu.edu/people/yelsayed,Associate Professor
Senior Scientist; Postdoctoral Scholar,"J. Nguyen (PhD 2019, Ginkgo); H. Patel (PhD 2020, Postdoc Caltech)",NIH U01 (2024); NSF MRSEC (thrust lead),zstone@ncsu.edu,BME,https://bme.ncsu.edu/news/stone-mechanogenetics,synthetic biology; biomechanics; cross-training,http://stone-mechanogenetics.ncsu.edu,2025-09-05,https://linkedin.com/in/zachary-stone-bme,Cross-thrust collaboration; data commons; reproducibility checks.,26,14,Dr. Zachary Stone,A mechano-CRISPRa system upregulated RUNX2 under cyclic strain.; Synthetic promoters responded to substrate stretch in vitro.,2025; 2023,https://doi.org/10.1234/bme.stone.1; https://doi.org/10.1234/bme.stone.2,Force-gated CRISPRa boosts osteogenesis; Stretch-activated promoters for mechano-sensing,Mechanogenetics and force-responsive gene circuits in mammalian cells.,[Research] Force-responsive gene circuits (Source: http://stone-mechanogenetics.ncsu.edu/research),https://twitter.com/StoneMechano/status/12990012,https://www.bme.ncsu.edu/people/zstone,Professor
